imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,same_text.started,different_text.started,key_resp_2.started,polygon.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,polygon.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0016459999606013298,0.00482399994507432,0.00482399994507432,1.086499699857086,space,1.0696098001208156,None,,,,,,,,,,,,,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,0.8264166000299156,None,0,0,0,0,1.160349000012502,,,,,,,,,1.1259467999916524,1.160349000012502,1.160349000012502,1.160349000012502,1.160349000012502,1.160349000012502,2.0000982999335974,left,0.8264166000299156,None,2.0001625998411328,2.0004495000466704,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,0.4889948000200093,None,0,1,1,1,2.017802400048822,,,,,,,,,2.0115797000471503,2.017802400048822,2.017802400048822,2.017802400048822,2.017802400048822,2.017802400048822,2.51642549992539,right,0.4889948000200093,None,2.516489499947056,2.5168041000142694,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,left,0.23574539995752275,None,0,2,2,2,2.534553000004962,,,,,,,,,2.527880399953574,2.534553000004962,2.534553000004962,2.534553000004962,2.534553000004962,2.534553000004962,2.783181400038302,left,0.23574539995752275,None,2.78325039986521,2.7835901000071317,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,right,1.0262319000903517,None,0,3,3,3,2.8009303000289947,,,,,,,,,2.7945125999394804,2.8009303000289947,2.8009303000289947,2.8009303000289947,2.8009303000289947,2.8009303000289947,3.8330818999093026,right,1.0262319000903517,None,3.833145400043577,3.8334800000302494,3.8154672000091523,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,left,0.11062249983660877,None,0,4,4,4,3.851435499964282,,,,,,,,,3.8450042998883873,3.851435499964282,3.851435499964282,3.851435499964282,3.851435499964282,3.851435499964282,3.9664971998427063,left,0.11062249983660877,None,3.966548299882561,3.9668352999724448,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,right,0.289740800159052,None,0,5,5,5,3.984568899963051,,,,,,,,,3.9765554000623524,3.984568899963051,3.984568899963051,3.984568899963051,3.984568899963051,3.984568899963051,4.283573099877685,right,0.289740800159052,None,4.283666800009087,4.2841504998505116,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,left,0.1109042998868972,None,0,6,6,6,4.307135199895129,,,,,,,,,4.300621500005946,4.307135199895129,4.307135199895129,4.307135199895129,4.307135199895129,4.307135199895129,4.432978200027719,left,0.1109042998868972,None,4.4330321999732405,4.433316699927673,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,right,0.3426417000591755,None,0,7,7,7,4.450734299840406,,,,,,,,,4.4436148998793215,4.450734299840406,4.450734299840406,4.450734299840406,4.450734299840406,4.450734299840406,4.799853999866173,right,0.3426417000591755,None,4.799916199874133,4.800304000033066,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,left,0.08004079991951585,None,0,8,8,8,4.817775399889797,,,,,,,,,4.8108790998812765,4.817775399889797,4.817775399889797,4.817775399889797,4.817775399889797,4.817775399889797,4.8996410998515785,left,0.08004079991951585,None,4.899699999950826,4.89997179992497,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/102_C2_DV.jpg,left,same,0,9,9,0,right,0.28491000016219914,None,0,9,9,9,4.9176473000552505,,,,,,,,,4.910306900041178,4.9176473000552505,4.9176473000552505,4.9176473000552505,4.9176473000552505,4.9176473000552505,5.2162176999263465,right,0.28491000016219914,None,5.21629530005157,5.216640400001779,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/108_DV_C2.jpg,left,same,0,10,10,0,left,0.2144009000621736,None,0,10,10,10,5.234898499911651,,,,,,,,,5.2288041999563575,5.234898499911651,5.234898499911651,5.234898499911651,5.234898499911651,5.234898499911651,5.466373099945486,left,0.2144009000621736,None,5.4664600000251085,5.466903700027615,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/115_C2_DV.jpg,left,same,0,11,11,0,right,2.4426271999254823,None,0,11,11,11,5.487767599988729,,,,,,,,,5.481691000051796,5.487767599988729,5.487767599988729,5.487767599988729,5.487767599988729,5.487767599988729,7.932689900044352,right,2.4426271999254823,None,7.932742799865082,7.933018599869683,6.498623099876568,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/120_DV_C2.jpg,left,same,0,12,12,0,left,0.4516431000083685,None,0,12,12,12,7.950396599946544,,,,,,,,,7.942966300062835,7.950396599946544,7.950396599946544,7.950396599946544,7.950396599946544,7.950396599946544,8.41675419989042,left,0.4516431000083685,None,8.416893299901858,8.417505299905315,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/129_C2_DV.jpg,left,same,0,13,13,0,right,0.9978384000714868,None,0,13,13,13,8.436159000033513,,,,,,,,,8.430112599860877,8.436159000033513,8.436159000033513,8.436159000033513,8.436159000033513,8.436159000033513,9.44910079985857,right,0.9978384000714868,None,9.44915740005672,9.449449499836192,9.448196499841288,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/136_C2_DV.jpg,left,same,0,14,14,0,left,0.3598907000850886,None,0,14,14,14,9.466800600057468,,,,,,,,,9.460114700021222,9.466800600057468,9.466800600057468,9.466800600057468,9.466800600057468,9.466800600057468,9.832257800037041,left,0.3598907000850886,None,9.832326699979603,9.832693099975586,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/139_DV_C2.jpg,left,same,0,15,15,0,right,0.28042279998771846,None,0,15,15,15,9.850514099933207,,,,,,,,,9.844055800000206,9.850514099933207,9.850514099933207,9.850514099933207,9.850514099933207,9.850514099933207,10.132637500064448,right,0.28042279998771846,None,10.132697599940002,10.132992699975148,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/168_C2_DV.jpg,left,same,0,16,16,0,left,0.3229604000225663,None,0,16,16,16,10.150354699930176,,,,,,,,,10.144004199886695,10.150354699930176,10.150354699930176,10.150354699930176,10.150354699930176,10.150354699930176,10.482236800016835,left,0.3229604000225663,None,10.482289499836043,10.482549999840558,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/170_DV_C2.jpg,left,same,0,17,17,0,right,0.25362550001591444,None,0,17,17,17,10.499942400027066,,,,,,,,,10.493033800041303,10.499942400027066,10.499942400027066,10.499942400027066,10.499942400027066,10.499942400027066,10.765500399982557,right,0.25362550001591444,None,10.76555769983679,10.765851099975407,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/235_C2_DV.jpg,left,same,0,18,18,0,left,0.2110637000296265,None,0,18,18,18,10.78377650002949,,,,,,,,,10.776584699982777,10.78377650002949,10.78377650002949,10.78377650002949,10.78377650002949,10.78377650002949,10.998967499937862,left,0.2110637000296265,None,10.999027899932116,10.999325799988583,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
same/303_DV_C2.jpg,left,same,0,19,19,0,right,0.4163826999720186,None,0,19,19,19,11.016964299837127,,,,,,,,,11.010565900010988,11.016964299837127,11.016964299837127,11.016964299837127,11.016964299837127,11.016964299837127,11.448913200059906,right,0.4163826999720186,None,11.448975499952212,11.44929699995555,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
different/013_235_R.jpg,right,different,0,20,20,0,left,0.032052299939095974,None,0,20,20,20,11.474681599996984,,,,,,,,,11.46831119991839,11.474681599996984,11.474681599996984,11.474681599996984,11.474681599996984,11.474681599996984,11.515263899927959,left,0.032052299939095974,None,11.515315899858251,11.515637599863112,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
different/019_074_L.jpg,right,different,0,21,21,0,right,0.17471960000693798,None,0,21,21,21,11.531500400044024,,,,,,,,,11.524006499908864,11.531500400044024,11.531500400044024,11.531500400044024,11.531500400044024,11.531500400044024,11.715518199838698,right,0.17471960000693798,None,11.715576800052077,11.71587309986353,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
different/025_235_L.jpg,right,different,0,22,22,0,left,0.046283600153401494,None,0,22,22,22,11.73171680001542,,,,,,,,,11.72506759990938,11.73171680001542,11.73171680001542,11.73171680001542,11.73171680001542,11.73171680001542,11.782234800048172,left,0.046283600153401494,None,11.782294099917635,11.782589599955827,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
different/049_218_L.jpg,right,different,0,23,23,0,right,0.14026149990968406,None,0,23,23,23,11.798346600029618,,,,,,,,,11.792153199901804,11.798346600029618,11.798346600029618,11.798346600029618,11.798346600029618,11.798346600029618,11.948926700046286,right,0.14026149990968406,None,11.948990300064906,11.949240899877623,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
different/076_109_R.jpg,right,different,0,24,24,0,left,0.04604679998010397,None,0,24,24,24,11.96470299991779,,,,,,,,,11.958130999933928,11.96470299991779,11.96470299991779,11.96470299991779,11.96470299991779,11.96470299991779,12.01567029999569,left,0.04604679998010397,None,12.01572689996101,12.016024499898776,,847228,,,001,2024-12-26_22h30.42.896,glasgowFaceRecognition-Yagmur,2024.2.4,60.000888047844974,2024-12-26 22h30.49.715532 +0300,
